use_case,method,n,force_evals,final_position_error,max_position_error,max_abs_energy_error,final_energy_error,energy_drift_slope_per_period,max_angular_momentum_error,min_pair_distance
u1,rk4,50,200,4.805338519132975e-03,4.805338519132975e-03,8.256505573739633e-04,-8.256505573739633e-04,-8.325814325443351e-04,4.23909881486646e-05,0.6902788377785605
u1,rk4,100,400,1.7963664279440714e-04,1.7963664279440714e-04,2.6396558057671996e-05,-2.6396558057671996e-05,-2.658237814639052e-05,1.4227329788239533e-06,0.6910664985197061
u1,rk4,200,800,7.288267308247495e-06,8.03731937273304e-06,8.301396071028326e-07,-8.301396071028326e-07,-8.359317806424907e-07,5.8548208748414777e-08,0.6911078987886112
u1,rk4,400,1600,3.3118978871043127e-07,4.51263875511391e-07,2.60234092247654e-08,-2.598350184316779e-08,-2.6164705785225196e-08,2.8393319644748734e-09,0.691110189210063
u1,rk4,800,3200,1.681872355122646e-08,2.667980325325442e-08,8.179912614999268e-10,-8.123115489124139e-10,-8.179769993889845e-10,1.5495205948526207e-10,0.6911103223118574
u1,verlet,50,51,2.3646656191580046e-02,9.660037771645306e-02,1.350844788139803e-02,-2.4858801495551035e-04,-5.000228614448573e-04,3.928695733926018e-16,0.6414462226234879
u1,verlet,100,101,7.0335290298590755e-03,2.520890705891089e-02,2.4657504386327253e-03,-1.6738311751356888e-05,-1.9337239378309046e-05,1.1349565453564052e-15,0.6820438109253424
u1,verlet,200,201,1.930813820164447e-03,6.38873899382881e-03,5.829025438779149e-04,-9.87693833378595e-07,-1.013134861959578e-06,9.313600737284684e-16,0.6918817982213803
u1,verlet,400,401,4.942311327994312e-04,1.6028776993131015e-03,1.462560796302494e-04,-6.052980335046005e-08,-6.023974611542323e-08,7.420869719638034e-16,0.6913033293241562
u1,verlet,800,801,1.2428743887459747e-04,4.0107982382718045e-04,3.659726638638433e-05,-3.763203429096056e-09,-3.7170452814360883e-09,1.047652195713605e-15,0.6911585903681461
u2,rk4,50,20000,1.6743256506742645,1.918927841550341,1.5954288164468516e-01,-1.5954288164468516e-01,-1.4944447205459685e-03,1.6664502196266315e-04,0.5963754389795553
u2,rk4,100,40000,1.2263700168530218,1.2905276576016471,2.6741488171422192e-03,-2.6741488171422192e-03,-2.6747637822619393e-05,1.4541148457238472e-06,0.6887535894792232
u2,rk4,200,80000,4.3861819656358714e-02,4.6430260251630176e-02,8.304428986780424e-05,-8.304428986780424e-05,-8.304844164477737e-07,5.8615166033634175e-08,0.6904831978327726
u2,rk4,400,160000,1.3869995269610094e-03,1.469994103723231e-03,2.5984205691768892e-06,-2.598380338166911e-06,-2.5983866841020446e-08,2.8393319644748734e-09,0.691041504995062
u2,rk4,800,320000,4.4218787704996014e-05,4.6867036881828846e-05,8.123679768673214e-08,-8.123111814665442e-08,-8.123117613693902e-10,1.549545694853143e-10,0.6911082338017207
u2,verlet,50,5001,1.6184189878207436,1.9638631799510002,1.3851511736192547e-02,-3.9229924897222716e-03,-3.042181811049039e-08,7.246261020352433e-15,0.6385677554618471
u2,verlet,100,10001,1.116115076835847,1.1691975665339978,2.579968208242706e-03,-6.752106251250021e-05,-3.787006911507959e-09,4.976347929639623e-15,0.678015097489981
u2,verlet,200,20001,3.105470707242854e-01,3.222235202880874e-01,6.019401134839559e-04,-2.4819568094277113e-04,-5.78297135750348e-09,8.119304516780438e-15,0.6875705865717163
u2,verlet,400,40001,7.67779370908673e-02,8.178903615094824e-02,1.4718559339829432e-04,-3.655010442385978e-06,-4.337342153557717e-10,1.4405217691062065e-14,0.6906905577511037
u2,verlet,800,80001,1.9192476047016963e-02,2.0420195149145934e-02,3.687263942373033e-05,-5.6313426687733016e-08,-2.6517333006939096e-11,1.7548174278202882e-14,0.6903811382626265
